code	parent	level	unit	name
28894	832	3	xã	Vĩnh Thành
28897	832	3	xã	Vĩnh Hòa
28900	832	3	xã	Hưng Khánh Trung B
833	83	2	huyện	Mỏ Cày Nam
28903	833	3	thị trấn	Mỏ Cày
28930	833	3	xã	Định Thủy
28939	833	3	xã	Đa Phước Hội
28940	833	3	xã	Tân Hội
28942	833	3	xã	Phước Hiệp
28945	833	3	xã	Bình Khánh 
28951	833	3	xã	An Thạnh
28957	833	3	xã	An Định
28960	833	3	xã	Thành Thới B
28963	833	3	xã	Tân Trung
28966	833	3	xã	An Thới
28969	833	3	xã	Thành Thới A
28972	833	3	xã	Minh Đức
28975	833	3	xã	Ngãi Đăng
28978	833	3	xã	Cẩm Sơn
28981	833	3	xã	Hương Mỹ
834	83	2	huyện	Giồng Trôm
28984	834	3	thị trấn	Giồng Trôm
28987	834	3	xã	Phong Nẫm
28993	834	3	xã	Mỹ Thạnh
28996	834	3	xã	Châu Hòa
28999	834	3	xã	Lương Hòa
29002	834	3	xã	Lương Quới
29005	834	3	xã	Lương Phú
29008	834	3	xã	Châu Bình
29011	834	3	xã	Thuận Điền
29014	834	3	xã	Sơn Phú
29017	834	3	xã	Bình Hoà
29020	834	3	xã	Phước Long
29023	834	3	xã	Hưng Phong
29026	834	3	xã	Long Mỹ
29029	834	3	xã	Tân Hào
29032	834	3	xã	Bình Thành
29035	834	3	xã	Tân Thanh
29038	834	3	xã	Tân Lợi Thạnh
29041	834	3	xã	Thạnh Phú Đông
29044	834	3	xã	Hưng Nhượng
29047	834	3	xã	Hưng Lễ
835	83	2	huyện	Bình Đại
29050	835	3	thị trấn	Bình Đại
29053	835	3	xã	Tam Hiệp
29056	835	3	xã	Long Định
29059	835	3	xã	Long Hòa
29062	835	3	xã	Phú Thuận
29065	835	3	xã	Vang Quới Tây
29068	835	3	xã	Vang Quới Đông
29071	835	3	xã	Châu Hưng
29077	835	3	xã	Lộc Thuận
29080	835	3	xã	Định Trung
29083	835	3	xã	Thới Lai
29086	835	3	xã	Bình Thới
29089	835	3	xã	Phú Long
29092	835	3	xã	Bình Thắng
29095	835	3	xã	Thạnh Trị
29098	835	3	xã	Đại Hòa Lộc
29101	835	3	xã	Thừa Đức
29104	835	3	xã	Thạnh Phước
